Date,Start Time,End Time,Site,Observers,WQ Measurement Depth (cm),Dissolved Oxygen (mg/L),Dissolved Oxygen (%),Conductivity-specific (mS/cm),Salinity (ppt),Temperature (C),Barometric Pressure (mmHg),pH,No. Tadpoles,No. Fish,Comments
15-Jan-20,9:55,10:15,PIER,"Cole, Bailee",10cm below surface,7.6,71.0,5.920,3.2,11.7,764.1,6.80,0,0,
15-Jan-20,9:00,9:15,NVBR,"Bailee, Cole",10cm below surface,10.5,95.0,3.300,1.8,11.5,763.7,7.60,,,
15-Jan-20,9:15,9:35,VBR1,"Cole, Bailee",10cm below surface,8.5,76.0,5.740,3.1,12.0,763.8,7.00,,,
15-Jan-20,9:40,9:55,CUL1,"Bailee, Kimery, Cole",10cm below surface,8.2,75.0,3.910,1.4,9.2,764.3,6.43,,,
21-Jan-20,2:38,2:46,NWP,"Cole, Bailee",10cm below surface,10.7,109.0,1.630,0.8,17.1,765.6,7.45,0,0,
21-Jan-20,2:38,2:46,NWP,"Cole, Bailee",5cm above bottom,10.4,106.0,1.560,0.8,17.0,765.6,7.45,0,0,
21-Jan-20,2:53,3:03,NDC,"Cole, Bailee",10cm below surface,7.6,72.0,0.586,0.3,13.6,765.5,6.53,0,0,
21-Jan-20,2:53,3:03,NDC,"Cole, Bailee",5cm above bottom,7.6,71.0,0.575,0.3,12.9,765.5,6.53,0,0,
21-Jan-20,3:15,3:30,NPB,"Cole, Bailee",10cm below surface,7.8,72.0,4.530,2.5,14.3,765.1,6.90,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:15,3:30,NPB,"Cole, Bailee",5cm above bottom,6.4,61.0,5.370,2.9,14.4,765.1,6.90,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:35,3:50,NEB,"Cole, Bailee",10cm below surface,10,102.0,5.160,2.8,16.6,765.6,7.20,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:35,3:50,NEB,"Cole, Bailee",5cm above bottom,10.2,103.0,5.180,2.8,16.3,765.6,7.20,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:55,4:10,NMC,"Cole, Bailee",10cm below surface,8.9,92.0,5.010,2.6,17.3,765.8,7.30,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:55,4:10,NMC,"Cole, Bailee",5cm above bottom,8.9,92.0,5.070,2.7,17.3,765.8,7.30,0,0,water was too deep to sample in normal vegetation area (marked with O)
27-Jan-20,4:45,5:15,MO1,"Bailee, Cole, Steve",10cm below surface,9,91.0,3.850,2,16.4,766.9,7.24,0,0,
27-Jan-20,4:45,5:15,MO1,"Bailee, Cole, Steve",5cm above bottom,8.6,87.0,5.480,3,16.4,766.9,7.24,0,0,
28-Jan-20,12:00,n/a,NPB2 (at road),"Bailee, Cole",10cm below surface,21.9,220.0,3.200,1.7,17.0,766.3,8.30,0,0,
28-Jan-20,12:00,n/a,NPB2 (at road),"Bailee, Cole",5cm above bottom,21.9,220.0,3.200,1.7,17.0,766.3,8.30,0,0,
28-Jan-20,12:15,12:30,NPB1,"Bailee, Cole",10cm below surface,7.8,73.0,3.580,1.9,12.4,765.5,7.20,0,0,
28-Jan-20,12:15,12:30,NPB1,"Bailee, Cole",5cm above bottom,6.6,62.0,3.580,1.9,12.1,765.5,7.20,0,0,
29-Jan-20,4:35,n/a,DSP,"Bailee, Cole",10cm below surface,10.7,160.0,14.860,8.7,17.4,763.2,7.12,0,0,
29-Jan-20,4:35,n/a,DSP,"Bailee, Cole",5cm above bottom,10.7,160.0,14.860,8.7,17.4,763.2,7.12,0,0,
19-Feb-20,4:20,5:10,PIER,"Bailee, Cole, Steve",10cm below surface,9.5,101.0,7.520,4.2,18.3,762.9,7.25,0,0,
19-Feb-20,4:20,5:10,PIER,"Bailee, Cole,Steve",5cm above bottom,8.3,90.0,7.500,4.2,18.1,762.9,7.25,0,0,
19-Feb-20,5:30,5:50,MO1,"Bailee, Cole, Steve",10cm below surface,9.7,104.0,7.540,4.2,18.0,762.9,7.50,0,0,
19-Feb-20,5:30,5:50,MO1,"Bailee, Cole, Steve",5cm above bottom,9.7,104.0,7.540,4.2,18.0,762.9,7.50,0,0,
21-Feb-20,4:55,5:30,NVBR,"Cole, Bailee, Cheyne, Matt, Alyssa",10cm below surface,6.1,65.0,7.110,3.9,17.7,761.6,7.34,0,0,
21-Feb-20,4:55,5:30,NVBR,"Cole, Bailee, Cheyne, Matt, Alyssa",5cm above bottom,6.1,65.0,7.740,4.3,17.7,761.6,7.34,0,0,
25-Feb-20,10:35,n/a,CUL1,Cole,10cm below surface,6.8,74.0,7.850,4.4,18.6,764.4,7.20,0,0,
25-Feb-20,10:35,n/a,CUL1,Cole,5cm above bottom,4.1,44.0,7.830,4.4,17.7,764.4,7.20,0,0,
27-Feb-20,1:15,3:00,NPB,"Cole, Bailee",10cm below surface,9,103.0,8.080,4.5,19.3,765,7.70,0,0,
27-Feb-20,1:15,3:00,NPB,"Cole, Bailee",5cm above bottom,9.7,107.0,8.020,4.5,19.3,765,7.70,0,0,
22-Jan-21,9:40,11:40,NVBR,"Cole, Bailee, Ryan",10cm below surface,9.5,104.0,25.800,15.8,15.0,762.8,7.80,0,0,"Samp Area(m^2):2 , Samp Depth(m): 0.6; WQ Data taken prior to YSI and pH calibration on 2/15/21"
22-Jan-21,9:40,11:40,NVBR,"Cole, Bailee, Ryan",5cm above bottom,10.6,115.0,25.650,15.7,15.0,762.8,7.80,0,0,"Samp Area(m^2):2 , Samp Depth(m): 0.6; WQ Data taken prior to YSI and pH calibration on 2/15/21"
9-Feb-21,9:00,11:00,NPB,"Cole, Bailee",10cm below surface,11.22,119.7,2.960,3.42,17.9,769.9,7.80,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.4; WQ Data taken on 2/18/21."
9-Feb-21,9:00,11:00,NPB,"Cole,Bailee",5cm above bottom,10.55,113.3,4.870,5.63,17.9,769.9,7.80,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.4; WQ Data taken on 2/18/21."
18-Feb-21,2:30,3:30,NDC,"Bailee, Cole, Jeremiah",10cm below surface,8.4,83.6,1.140,1.33,17.4,769.8,6.95,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.3."
18-Feb-21,2:30,3:30,NDC,"Bailee, Cole, Jeremiah",5cm above bottom,8.6,73.5,1.120,1.35,16.2,769.8,7.00,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.3."
25-Feb-21,9:15,11:20,NVP4,"Cole, Bailee, Jeremiah, Victoria, Ryan",10cm below surface,9.77,84.4,0.000,0,15.6,765.4,8.10,0,0,"Samp Area(m^2): 1.5, Samp Depth(m):0.3."
25-Feb-21,9:15,11:20,NVP4,"Cole, Bailee, Jeremiah, Victoria, Ryan",5cm above bottom,10.04,86.6,0.480,0.4,15.5,765.4,8.10,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.3."
4-Mar-21,9:30,11:30,NWP,"Cole, Jeremiah, Bailee",10cm below surface,7.36,69.0,1.070,0.826,13.1,768.1,8.01,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.5."
4-Mar-21,9:30,11:30,NWP,"Cole, Jeremiah, Bailee",5cm above bottom,6.85,65.6,2.300,1.775,13.1,768.1,8.00,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.5."
8-Apr-21,9:00,11:00,NVBR,"Cole, Bailee, Steve, Jeremiah",10cm below surface,8.3,108.4,3.970,28.6,20.5,764.1,7.15,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.4."
8-Apr-21,9:00,11:00,NVBR,"Cole, Bailee, Steve, Jeremiah",5cm above bottom,8.68,113.2,4.101,29.1,20.5,764.1,7.20,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.4."
15-Apr-21,12:00,2:00,NPB,"Cole, Bailee, Thomas",5cm below surface,8.13,91.2,3.194,3.562,19.6,761,8.07,1,0,"Samp Area(m^2): 1, Samp Depth(m): 0.4."
15-Apr-21,12:00,2:00,NPB,"Cole, Bailee, Thomas",5cm above bottom,8.34,91.4,3.193,3.571,19.6,761,8.10,1,0,"Samp Area(m^2): 1, Samp Depth(m): 0.4."
23-Apr-21,10:00,11:30,NDC,"Cole, Thomas, Megan",5cm below surface,7.45,79.5,0.000,0,18.3,762.8,7.90,0,0,"Samp Area(m^2): 1, Samp Depth(m): 0.3."
23-Apr-21,10:00,11:30,NDC,"Cole, Thomas, Megan",5cm above bottom,7.47,75.5,0.000,0,18.3,762.8,7.90,0,0,"Samp Area(m^2): 1, Samp Depth(m): 0.3."
29-Apr-21,1:00,2:30,NWP,"Cole, Bailee",10cm below surface,14.4,181.0,5.180,5.08,26.5,764.2,7.40,0,0,"Samp Area(m^2): 1.5, Samp Depth(m): 0.4. Water not deep enough for multiple readings."
4-Jun-21,9:00,10:30,PIER,"Cole, Bailee, Jeremiah",10cm below surface,9.16,132.5,57.800,61.7,21.7,761.6,9.26,0,0,"Samp Area(m^2): 1, Samp Depth(m): 0.5. Water not deep enough for multiple readings. Double check written field notes. "
21-May-21,9:30,10:00,MO1,"Bailee, Jessica, Cole, Jeremiah",10cm below surface,10.61,125.3,30.600,36.18,18.9,761.9,9.48,N/A,N/A,
1-Aug-21,10:43,N/A,NPB2,"Parker, Jessica, Haley, Alison, Steve",10cm below surface,2.1,24.5,0.000,0,20.0,758.5,7.82,N/A,N/A,
25-Aug-21,10:30,12:00,NPB,"Alison, Parker, Loren, Steve",10cm below surface,4.5,50.0,4.035,4.565,19.1,761.1,7.52,N/A,N/A,Samp depth(m): 0.2. Water level very low or non-existant in slough.
8-Sept-21,10:00,n/a,NVBR,"Alison, Parker, Brooke, McKenzie",10cm below surface,over,3.2,186.100,173+,29.9,760.4,8.06,0,lots of dead fish,Stage Height: 4'. Samp depth(m): .2-1.2
9-Sept-21,10:00,n/a,PIER,"Alison, JB, Vincent, McKenzie, Haley, Brooke",10cm below surface,5.5,93.0,84.000,87.8,22.7,n/a,8.98,n/a,N/A,Stage Height: 5.3'
23-Sept-21,9:30,n/a,MO1,"Alison, Hayden, Megan",10cm below surface,5.28,85.1,82.400,91,20.2,760.5,8.97,n/a,N/A,
21-Sept-21,9:30,n/a,CUL1,"Alison, Mckenzie",10cm below surface,0.36,3.2,0.319,0.388,15.5,760.7,7.93,n/a,N/A,"Very dry, no flow."
16-Nov-21,3:18,n/a,NPB,"Alison, Justin, Megan",10cm below surface,17.53,187.8,3.870,3.39,67.6,760.8,7.30,n/a,n/a,
16-Nov-21,3:18,n/a,NPB,"Alison, Justin, Megan",5cm above bottom,6.65,67.6,1.669,1.38,67.6,760.8,7.30,n/a,n/a,
17-Nov-21,9:33,n/a,CUL1,"Alison, Vicente",10cm below surface,6.65,67.6,1.669,1.38,67.6,760.8,7.77,n/a,n/a,
17-Nov-21,9:33,n/a,CUL1,"Alison, Vicente",5cm above bottom,6.4,69.5,19.720,16.28,15.9,760.8,7.77,n/a,n/a,
18-Nov-21,10:30,n/a,PIER,"Alison, Brooke, Olivia",10cm below surface,8.37,89.1,18.480,45.2,15.2,n/a,8.75,n/a,n/a,
18-Nov-21,10:30,n/a,PIER,"Alison, Brooke, Olivia",5cm above bottom,7.89,90.9,32.460,27.03,16.2,n/a,8.75,n/a,n/a,
19-Nov-21,1:24,n/a,MO1,"Alison, Hayden, Ashley, McKenzie, Lauren",10cm below surface,9.67,114.3,33.460,25.82,17.3,n/a,8.93,n/a,n/a,
19-Nov-21,1:24,n/a,MO1,"Alison, Hayden, Ashley, McKenzie, Lauren",5cm above bottom,8.76,103.4,33.920,28.84,17.2,n/a,8.93,n/a,n/a,
23-Nov-21,3:15,n/a,NPB2,"Alison, Justin, Megan",10cm below surface,1.09,10.4,2.507,1.937,13.0,n/a,7.59,n/a,n/a,
23-Nov-21,3:15,n/a,NPB2,"Alison, Justin, Megan",5cm above bottom,0.21,1.9,2.734,2.04,11.7,n/a,7.59,n/a,n/a,
14-Jan-22,2:01,n/a,VP1,"Alison, Ella, Justin, Megan",5cm above bottom,7.66,79.7,0.169,0.144,17.3,n/a,7.10,appx. 13,n/a,
20-Jan-22,10:15,n/a,NVP2,"AR, LS, ER, GI",10cm below surface,5.45,51.9,0.468,0.606,13.1,n/a,7.75,1,n/a,check pH. notes unclear
20-Jan-22,10:15,n/a,NVP2,"AR, LS, ER, GI",5cm above bottom,5.85,55.9,0.609,0.4731,14.3,n/a,7.75,1,n/a,check pH. notes unclear
20-Jan-22,11:06,n/a,NVP4,"AR, LS, ER, GI",10cm below surface,9.56,93.1,0.520,0.657,14.1,n/a,8.96,n/a,n/a,
20-Jan-22,11:06,n/a,NVP4,"AR, LS, ER, GI",5cm above bottom,9.57,92.6,0.661,0.159,13.8,n/a,8.96,n/a,n/a,
28-Jan-22,1:00,2:26,NWP,"ATR, MN, JH, LL LS",10cm below surface,9.65,98.8,2.321,2.796,16.1,n/a,8.40,n/a,n/a,
28-Jan-22,1:00,2:26,NWP,"ATR, MN, JH, LL LS",5cm above bottom,9.57,98.7,2.820,2.358,16.4,n/a,8.40,n/a,n/a,
28-Jan-22,2:39,n/a,NDC,"ATR, MN, JH, LL LS",10cm below surface,9.55,95.5,1.621,1.998,15.1,n/a,7.65,n/a,n/a,
21-Feb-22,10:23,n/a,NPB,"MN, MG, LL",10cm below surface,0.49,5.8,16.380,17.97,20.4,n/a,7.39,n/a,n/a,
21-Feb-22,10:23,n/a,NPB,"MN, MG, LL",5cm above bottom,0.19,2.5,46.120,50.2,20.7,n/a,7.39,n/a,n/a,
22-Feb-22,2:20,n/a,CUL1,"Alison, Vincente, Hayden",10cm below surface,9.58,128.1,48.290,54.6,19.0,n/a,8.53,n/a,n/a,
22-Feb-22,2:20,n/a,CUL1,"Alison, Vincente, Hayden",5cm above bottom,9.54,128.2,49.200,55.6,19.0,n/a,8.53,n/a,n/a,
23-Feb-22,10:30,!0:50,NVBR,Justin,10cm below surface,9.97,123.5,45.700,57.2,14.5,n/a,8.86,n/a,n/a,
23-Feb-22,10:30,!0:50,NVBR,Justin,5cm above bottom,10.52,116.5,26.270,33.1,14.2,n/a,8.86,n/a,n/a,
23-Feb-22,1:12,n/a,NPB,"Vincente, Ella, Graham",10cm below surface,6.42,58.4,2.864,3.956,10.5,n/a,8.02,n/a,n/a,
23-Feb-22,1:12,n/a,NPB,"Vincente, Ella, Graham",5cm above bottom,6.09,55.3,2.872,3.972,10.5,n/a,8.02,n/a,n/a,
24-Feb-22,1:03,n/a,MO1,"MN, AR",10cm below surface,10.2,124.2,44.680,57.1,13.6,n/a,8.88,n/a,n/a,
24-Feb-22,1:03,n/a,MO1,"MN, AR",5cm above bottom,9.75,117.9,43.870,56.2,13.5,n/a,8.88,n/a,n/a,
26-Feb-22,10:30,n/a,PIER,"AR, TN, IS",10cm below surface,10.23,122.4,44.310,58.1,12.5,n/a,8.76,n/a,n/a,
26-Feb-22,10:30,n/a,PIER,"AR, TN, IS",5cm above bottom,10.08,121.0,44.580,58.4,12.6,n/a,8.76,n/a,n/a,
25-Feb-22,2:10,n/a,NEC,"JH, ER, LS",10cm below surface,10.62,126.3,26.920,30.97,18.2,n/a,8.75,n/a,n/a,
25-Feb-22,2:10,n/a,NEC,"JH, ER, LS",5cm above bottom,9.12,120.4,49.300,57.3,17.7,n/a,8.75,n/a,n/a,
5-May-22,12:30,n/a,NEC,"JH, WZF",10cm below surface,7.43,113.5,65.200,63.8,23.9,n/a,9.45,n/a,n/a,
5-May-22,12:30,n/a,NEC,"JH, WZF",5cm above bottom,7.17,109.7,65.100,63.9,24.0,n/a,9.45,n/a,n/a,
6-May-22,3:00,n/a,NMC,"JH, LH",5cm above bottom,16.47,206.0,1.110,1.45,26.6,n/a,9.96,n/a,n/a,
10-May-22,10:00,11:00,CUL1,"Vincente, Lawrence, Megan, Alison, Wanzhou, Lily",10cm below surface,7.36,101.5,74.100,61.2,15.9,n/a,9.15,n/a,n/a,
10-May-22,10:00,11:00,CUL1,"Vincente, Lawrence, Megan, Alison, Wanzhou, Lily",5cm above bottom,10.86,111.3,0.393,0.3929,16.5,n/a,9.15,n/a,n/a,check cond ms/cm. notes unclear
10-May-22,11:25,12:00,MO1,"Lawrence, Alison, Wanxhou, Lily",10cm below surface,7.78,110.3,67.500,59.8,19.0,n/a,9.62,n/a,n/a,
10-May-22,11:25,12:00,MO1,"Lawrence, Alison, Wanxhou, Lily",5cm above bottom,7.65,108.7,67.700,60.1,19.1,n/a,9.62,n/a,n/a,
11-May-22,2:15,4:45,NWP,"HV, SWO",10cm below surface,11.34,136.1,0.001,0.0013,24.3,n/a,9.31,n/a,n/a,check specific conductance and cond ms/cm. both are identical. possible error. check observer intials
11-May-22,2:!5,4:45,NDC,"HV, SWO",10cm below surface,9.4,111.1,0.398,0.3983,23.7,n/a,9.11,n/a,n/a,check specific conductance and cond ms/cm. both are identical. possible error. check observer intials
12-May-22,9:57,11:00,NPB1,"Ingrid, Vincente",10cm below surface,0.7,5.4,2.700,2.51,13.7,n/a,7.72,n/a,n/a,
12-May-22,9:57,11:00,NPB1,"Ingrid, Vincente",5cm above bottom,0.78,7.3,1.723,1.097,n/a,n/a,7.72,n/a,n/a,
12-May-22,11:15,12:05,NPB,"Ingrid, Vincente",10cm below surface,8.3,97.6,10.600,11.37,21.4,n/a,7.97,n/a,n/a,
12-May-22,11:15,12:05,NPB,"Ingrid, Vincente",5cm above bottom,8.04,94.6,10.720,11.48,21.3,n/a,7.97,n/a,n/a,
12-May-22,12:30,1:15,PIER,"Alison, Lawrence, Ella",10cm below surface,9.9,138.6,58.100,53.4,20.7,n/a,9.78,n/a,n/a,
12-May-22,12:30,1:15,PIER,"Alison, Lawrence, Ella",5cm above bottom,9.89,137.7,57.700,52.7,20.5,n/a,9.78,n/a,n/a,
13-May-22,3:20,n/a,NVBR,"Justin, Lauren, Megan, McKenzie",10cm below surface,11.5,189.0,68.300,71.7,22.6,n/s,9.72,n/a,n/a,
13-May-22,3:20,n/a,NVBR,"Justin, Lauren, Megan, McKenzie",5cm above bottom,11.3,185.2,74.200,76.6,26.7,n/a,9.72,n/a,n/a,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
